_id,meanLightAmplitude,time,uid
6716509c873f1647840e7414,5.974128888888896,2024-10-21T12:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67165e89873f1647840ef592,10.711043333333338,2024-10-21T13:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67167862873f1647840f0e3a,6.550431388888604,2024-10-21T14:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
671694a0873f1647840f1ac5,0,2024-10-21T15:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
671694a1873f1647840f1ad6,0,2024-10-21T16:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b7d,0,2024-10-21T17:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b8e,0,2024-10-21T18:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4b9f,0,2024-10-21T19:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716cd13873f1647840f4bb0,7.349695000000026,2024-10-21T20:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff57873f1647840f8a6d,2.6758216666666566,2024-10-21T21:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff57873f1647840f8a8f,38.67956083333491,2024-10-21T22:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ab1,1.3296938888888885,2024-10-21T23:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6716ff58873f1647840f8ad3,65.81030861111127,2024-10-22T00:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67170780873f1647840f8e76,156.24154861111094,2024-10-22T01:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67171616873f1647840f969c,251.3884641666658,2024-10-22T02:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
6717265c873f1647840fda03,0.7356961111111279,2024-10-22T03:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67173fac873f1647840fe821,0.0019513888888888888,2024-10-22T04:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
67173fac873f1647840fe84a,0.00342,2024-10-22T05:00:00Z,W1hZkqBeWCUTVBX6rx9OeHmaWx63
